Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,170.160004,172.300003,169.259995,172.259995,168.987320,25555900
2018-01-03,172.529999,174.550003,171.960007,172.229996,168.957886,29517900
2018-01-04,172.539993,173.470001,172.080002,173.029999,169.742706,22434600
2018-01-05,173.440002,175.369995,173.050003,175.000000,171.675278,23660000
2018-01-08,174.350006,175.610001,173.929993,174.350006,171.037628,20567800
2018-01-09,174.550003,175.059998,173.410004,174.330002,171.018005,21584000
2018-01-10,173.160004,174.300003,173.000000,174.289993,170.978760,23959900
2018-01-11,174.589996,175.490005,174.490005,175.279999,171.949951,18667700
2018-01-12,176.179993,177.360001,175.649994,177.089996,173.725571,25226000
2018-01-16,177.899994,179.389999,176.139999,176.190002,172.842682,29565900
2018-01-17,176.149994,179.250000,175.070007,179.100006,175.697388,34386800
2018-01-18,179.369995,180.100006,178.250000,179.259995,175.854340,31193400
2018-01-19,178.610001,179.580002,177.410004,178.460007,175.069550,32425100
2018-01-22,177.300003,177.779999,176.600006,177.000000,173.637283,27108600
2018-01-23,177.300003,179.440002,176.820007,177.039993,173.676514,32689100
2018-01-24,177.250000,177.300003,173.199997,174.220001,170.910080,51105100
2018-01-25,174.509995,174.949997,170.529999,171.110001,167.859161,41529000
2018-01-26,172.000000,172.000000,170.059998,171.509995,168.251556,39143000
2018-01-29,170.160004,170.160004,167.070007,167.960007,164.769012,50640400
2018-01-30,165.529999,167.369995,164.699997,166.970001,163.797836,46048200
2018-01-31,166.869995,168.440002,166.500000,167.429993,164.249084,32478900
